logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.Symbol	significant_logFC_1	significant_logFC_2	significant_logFC_3
-1.07480772463135	6.97013647722381	-4.31193737993236	9.32595948658449e-05	0.353826902921016	-0.637496397792014	MYOM1	yes	no	no
-1.07452885703783	8.81976473132016	-3.85265481216796	0.000385744726990338	0.546575883413197	-1.35900442085573	CTSC	yes	no	no
-1.48589765945609	9.67610584481911	-3.79538985629789	0.000458546793021092	0.546575883413197	-1.44778606776945	SUPT16H	yes	no	no
1.62601374464498	8.76985064967614	3.59948593798123	0.000821858965385423	0.666112776281153	-1.7486965727676	BTG3	yes	no	no
-1.05484082799973	9.52452632500805	-3.57280551669527	0.000888947382291483	0.666112776281153	-1.78929966166262	PON2	yes	no	no
-1.27341609857628	11.7579144166233	-3.39012593521515	0.0015108345570226	0.758785467026681	-2.06447056760453	PDLIM1	yes	no	no
1.53101228639105	9.47770783535292	3.24376078449886	0.00228967362946598	0.770683955314534	-2.28091169925583	NPR1	yes	no	no
1.20991422539103	8.95096056715997	3.21523909941451	0.00248039441655546	0.770683955314534	-2.32262291015533	SCYL2	yes	no	no
-1.07536931648688	6.91205799905092	-3.21042105518336	0.00251406190126655	0.770683955314534	-2.32965319687792	DNAJC22	yes	no	no
-1.45950821114209	8.99532084045929	-3.20035793308212	0.00258578135083661	0.770683955314534	-2.34432196164113	SPRY1	yes	no	no
-1.11187306143022	7.64757208917117	-3.19825597619529	0.00260100438679478	0.770683955314534	-2.34738337281015	GCNT1	yes	no	no
-1.19078757735764	8.99670479186	-3.19446445535097	0.00262867844966725	0.770683955314534	-2.35290331561173	PRIM1	yes	no	no
-1.010077857857	9.53981459399132	-3.16771419153294	0.0028319884880386	0.770683955314534	-2.39176519420632	FANCL	yes	no	no
-1.3656792538724	8.42095529399086	-3.15529829044087	0.00293132211912602	0.770683955314534	-2.40975266562429	TPBG	yes	no	no
-1.03704158246487	7.86363482856832	-3.09616579743118	0.00345123900619331	0.770683955314534	-2.49497436230695	SLCO2A1	yes	no	no
1.27884996382291	11.000675981538	3.06481810268286	0.00376095678877238	0.770683955314534	-2.53984519232438	ARMCX2	yes	no	no
1.53830277945048	9.4010455701732	3.02811224240114	0.00415681117891964	0.770683955314534	-2.59210579475382	CXADR	yes	no	no
-2.50320822616058	7.98314059071912	-3.0215400229741	0.00423169625905648	0.770683955314534	-2.60143062804074	CLDN6	yes	yes	no
1.23677379023389	10.2621911081432	2.94428060264176	0.00521227175135797	0.770683955314534	-2.71028614053819	GAB2	yes	no	no
-1.13935553790023	8.018973960126	-2.93702306239274	0.0053145691573176	0.770683955314534	-2.7204379306002	TGM2	yes	no	no
1.38034885083261	7.84320637876471	2.93175542258898	0.0053899904144315	0.770683955314534	-2.7277981526143	GATA6	yes	no	no
-1.18494982138076	9.6642644934482	-2.92139325874785	0.00554128195602307	0.770683955314534	-2.74225669156305	ANXA1	yes	no	no
1.19767817405928	9.05250436718559	2.92100903484563	0.00554696731898975	0.770683955314534	-2.74279229472927	C21orf91	yes	no	no
1.17406059095903	11.8222288740251	2.91585720110519	0.00562372716196521	0.770683955314534	-2.74997033263494	DHCR24	yes	no	no
-1.11787008431086	8.43392070814039	-2.91449191100946	0.00564423495106145	0.770683955314534	-2.75187147823143	KLHL2	yes	no	no
-1.75555730291535	8.77513014582833	-2.87253725445505	0.0063095224847753	0.826649766769526	-2.81006340288479	HOXC6	yes	no	no
-1.09982521858343	8.45084161352358	-2.77450803358665	0.00815882872505309	0.861667744406081	-2.94424351626829	RAB27A	yes	no	no
-1.22728858514956	7.53409577378064	-2.7733831259318	0.00818270544208666	0.861667744406081	-2.94576826307673	HOXA4	yes	no	no
1.12161758551884	8.48101985595174	2.71912457606603	0.00941421301502133	0.862466466859627	-3.01889476172384	GSTZ1	yes	no	no
1.9721847963821	9.43281274120357	2.71475143630177	0.00952057884055651	0.862466466859627	-3.02475251865053	ADAMTS1	yes	no	no
-1.20173890703542	7.55319140039541	-2.67311426779913	0.0105902917103445	0.862466466859627	-3.08024941761138	LEF1	yes	no	no
1.65627706292921	9.97637310685629	2.67162917672389	0.0106304149629892	0.862466466859627	-3.08221955008147	NRIP1	yes	no	no
1.14616382743499	8.67680445375627	2.66367588894345	0.0108476831103203	0.862466466859627	-3.09275942348457	DDHD2	yes	no	no
-1.23041941032615	8.58264250508059	-2.6125674819001	0.0123441439584745	0.862466466859627	-3.16004101507723	GCHFR	yes	no	no
1.52558036564044	9.34596813509638	2.59893477345013	0.0127741254657852	0.862466466859627	-3.17785474742304	CLU	yes	no	no
-1.11162759868695	7.77259986722169	-2.52477391736345	0.0153628538962232	0.862466466859627	-3.27375163124004	NRGN	yes	no	no
-1.2037358643204	8.47093912022407	-2.47503398384621	0.017358013269329	0.862466466859627	-3.33709008223834	FYN	yes	no	no
-1.69024132301329	9.40662207322416	-2.46716976810816	0.0176941723344973	0.862466466859627	-3.34703049469249	SDC1	yes	no	no
-1.68132819509167	9.11906214889095	-2.46050313350434	0.0179837537019609	0.862466466859627	-3.35544118569568	INHBB	yes	no	no
-1.08304248944055	9.76759719532202	-2.44341671988306	0.0187456633527285	0.862466466859627	-3.376930269304	ADGRG1	yes	no	no
-1.31372435935451	9.7854232728394	-2.44281612144138	0.01877296910802	0.862466466859627	-3.37768385512593	TMEM176A	yes	no	no
-1.15855583040999	8.31053129409876	-2.42581069524261	0.0195612061981238	0.862466466859627	-3.39897080870781	MKI67	yes	no	no
1.24962234348953	7.83886447945436	2.401101772765	0.0207598900962131	0.862466466859627	-3.42972674879689	DHRS11	yes	no	no
