logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene.Symbol	significant_logFC_1	significant_logFC_2	significant_logFC_3
0.737513003442182	8.43034692732966	4.35498409893738	8.14200849187405e-05	0.353826902921016	-0.569279796817725	ZSCAN18	no	no	no
-1.07480772463135	6.97013647722381	-4.31193737993236	9.32595948658449e-05	0.353826902921016	-0.637496397792014	MYOM1	yes	no	no
-0.670027454332482	6.88819615786726	-4.06537455225638	0.000201247362501196	0.509021662219691	-1.02660011849936	CDC14B	no	no	no
-1.07452885703783	8.81976473132016	-3.85265481216796	0.000385744726990338	0.546575883413197	-1.35900442085573	CTSC	yes	no	no
-1.48589765945609	9.67610584481911	-3.79538985629789	0.000458546793021092	0.546575883413197	-1.44778606776945	SUPT16H	yes	no	no
-0.637370565572459	8.52547910970667	-3.78884096010012	0.000467672969168925	0.546575883413197	-1.45791750742703	TUBA3C	no	no	no
-0.73579010873282	6.61082366060553	-3.76379430267314	0.000504221294661621	0.546575883413197	-1.49662293073947	SREK1	no	no	no
-0.938352637395371	12.6966591405456	-3.61640878954194	0.000781854994327068	0.666112776281153	-1.72289248832171	KRT18	no	no	no
1.62601374464498	8.76985064967614	3.59948593798123	0.000821858965385423	0.666112776281153	-1.7486965727676	BTG3	yes	no	no
-1.05484082799973	9.52452632500805	-3.57280551669527	0.000888947382291483	0.666112776281153	-1.78929966166262	PON2	yes	no	no
-0.933844116686389	7.2140852858434	-3.54457762928382	0.000965635284540416	0.666112776281153	-1.83214905833372	CYB5B	no	no	no
-0.824375648878791	8.56760489796811	-3.45013288761493	0.00127099784240962	0.758785467026681	-1.97465683031219	CLCN3	no	no	no
0.737152095412691	11.24602288491	3.40597073189594	0.00144361654902671	0.758785467026681	-2.04081307716062	SLIRP	no	no	no
-1.27341609857628	11.7579144166233	-3.39012593521515	0.0015108345570226	0.758785467026681	-2.06447056760453	PDLIM1	yes	no	no
-0.942686626585763	8.64193426991653	-3.38265735644215	0.00154354334530158	0.758785467026681	-2.07560703406914	TOX4	no	no	no
-0.603737762100944	7.44652097644016	-3.34011777646716	0.0017430974925183	0.758785467026681	-2.13885489419768	NDE1	no	no	no
-0.733324265325192	9.91170624384087	-3.3379513955664	0.00175389063369254	0.758785467026681	-2.14206738736142	EXTL2	no	no	no
0.572754735226359	7.95933385574645	3.32884372519039	0.0017999655253664	0.758785467026681	-2.15556386850101	SUCLG1	no	no	no
1.53101228639105	9.47770783535292	3.24376078449886	0.00228967362946598	0.770683955314534	-2.28091169925583	NPR1	yes	no	no
1.20991422539103	8.95096056715997	3.21523909941451	0.00248039441655546	0.770683955314534	-2.32262291015533	SCYL2	yes	no	no
